Rg,Verein,# Sp,Wochengehälter,Jahresgehälter,Schätzwert in %
1,Bayern Munich,49,4948462,257320000,16%
2,Dortmund,57,2434615,126600000,38%
3,RB Leipzig,51,1943077,101040000,65%
4,Leverkusen,49,1199423,62370000,73%
5,Wolfsburg,56,1054423,54830000,96%
6,M'Gladbach,60,990000,51480000,89%
7,Hoffenheim,54,934423,48590000,100%
8,Eint Frankfurt,62,698654,36330000,71%
9,Union Berlin,53,673462,35020000,96%
10,Mainz 05,53,548846,28540000,96%
11,Werder Bremen,49,536154,27880000,82%
12,Stuttgart,54,518462,26960000,94%
13,Augsburg,59,468462,24360000,94%
14,Köln,56,420769,21880000,100%
15,Freiburg,48,415769,21620000,95%
16,Bochum,59,346731,18030000,93%
17,Darmstadt 98,58,254423,13230000,100%
18,Heidenheim,52,210962,10970000,100%
